,type,start_time,end_time
0,1,14,16
1,1,43,45
2,9,43,53
3,2,80,83
4,2,84,87
5,1,103,105
6,15,104,120
7,3,114,118
8,17,117,135
9,1,129,131
10,10,139,150
11,1,151,153
12,8,159,168
13,16,159,176
14,1,206,208
15,3,232,236
16,4,235,240
17,6,260,267
18,8,261,270
19,1,270,272
20,6,271,278
21,15,278,294
22,20,282,303
23,19,300,320
24,1,309,311
25,6,318,325
26,13,336,350
27,3,350,354
28,1,361,363
29,1,365,367
30,18,384,403
31,1,388,390
32,5,398,404
33,3,404,408
34,7,404,412
35,3,405,409
36,10,408,419
37,1,414,416
38,1,419,421
39,16,425,442
40,4,432,437
41,8,438,447
42,1,455,457
43,9,455,465
44,2,458,461
45,4,459,464
46,2,465,468
47,2,470,473
48,7,474,482
49,11,478,490
50,1,497,499
51,5,511,517
52,4,526,531
53,3,548,552
54,8,556,565
55,1,567,569
56,3,588,592
57,7,602,610
58,11,612,624
59,2,619,622
60,9,628,638
61,1,644,646
62,13,656,670
63,10,670,681
64,1,674,676
65,19,697,717
66,8,698,707
67,8,714,723
68,20,721,742
69,5,721,727
70,3,731,735
71,2,736,739
72,20,740,761
73,3,745,749
74,3,756,760
75,1,767,769
76,1,767,769
77,6,772,779
78,12,774,787
79,6,779,786
80,4,782,787
81,5,804,810
82,5,829,835
83,2,833,836
84,13,839,853
85,14,863,878
86,7,872,880
87,1,874,876
88,3,879,883
89,2,881,884
90,1,883,885
91,1,885,887
92,8,886,895
93,7,892,900
94,12,894,907
95,3,896,900
96,9,920,930
97,1,924,926
98,1,929,931
99,1,932,934
100,9,933,943
101,16,943,960
102,3,949,953
103,1,954,956
104,1,961,963
105,2,969,972
106,4,979,984
107,8,993,1002
108,2,1005,1008
109,10,1009,1020
110,1,1029,1031
111,6,1030,1037
112,2,1042,1045
113,4,1050,1055
114,2,1054,1057
115,5,1055,1061
116,1,1056,1058
117,8,1061,1070
118,2,1066,1069
119,1,1069,1071
120,1,1090,1092
121,11,1093,1105
122,10,1097,1108
123,8,1128,1137
124,4,1135,1140
125,1,1149,1151
126,1,1159,1161
127,20,1161,1182
128,2,1163,1166
129,2,1166,1169
130,5,1192,1198
131,7,1208,1216
132,5,1229,1235
133,1,1230,1232
134,2,1257,1260
135,4,1268,1273
136,5,1272,1278
137,3,1281,1285
138,13,1282,1296
139,3,1286,1290
140,3,1286,1290
141,4,1291,1296
142,7,1305,1313
143,2,1308,1311
144,19,1313,1333
145,16,1317,1334
146,1,1331,1333
147,2,1341,1344
148,2,1349,1352
149,2,1353,1356
